Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,2011incc,5,"Wednesday, March 16, 2011 14:38:14 UTC",39.2196,142.8996,4.7,38.00,18,"near the east coast of Honshu, Japan"
us,2011incb,4,"Wednesday, March 16, 2011 14:27:40 UTC",38.8359,144.3628,4.7,22.70,29,"off the east coast of Honshu, Japan"
nn,00329327,7,"Wednesday, March 16, 2011 14:26:24 UTC",38.3869,-118.7281,1.9,9.00,13,"Nevada"
nm,031611g,A,"Wednesday, March 16, 2011 14:07:12 UTC",35.2551,-92.3542,2.1,4.60, 7,"Arkansas"
us,2011inca,7,"Wednesday, March 16, 2011 14:01:57 UTC",-18.8703,-177.7186,4.6,622.10,74,"Fiji region"
ci,10909485,3,"Wednesday, March 16, 2011 14:01:28 UTC",33.3385,-116.1840,1.0,6.00,27,"Southern California"
ak,10192612,1,"Wednesday, March 16, 2011 13:56:59 UTC",63.1243,-150.3818,2.0,102.40,26,"Central Alaska"
us,2011incm,5,"Wednesday, March 16, 2011 13:54:06 UTC",37.4687,141.1781,4.8,35.90,85,"near the east coast of Honshu, Japan"
pr,11075002,3,"Wednesday, March 16, 2011 13:42:33 UTC",19.0330,-67.9179,5.4,56.00,25,"Dominican Republic region"
us,c0002489,9,"Wednesday, March 16, 2011 13:38:42 UTC",36.5806,142.6693,5.4,1.00,169,"off the east coast of Honshu, Japan"
ak,10192596,1,"Wednesday, March 16, 2011 13:15:46 UTC",62.2957,-149.6708,1.8,44.60,10,"Central Alaska"
us,2011inb7,4,"Wednesday, March 16, 2011 13:12:16 UTC",22.4753,120.7326,4.4,40.00,24,"Taiwan"
nn,00329321,7,"Wednesday, March 16, 2011 12:56:20 UTC",39.0323,-118.8090,3.4,6.50,17,"Nevada"
ak,10192588,2,"Wednesday, March 16, 2011 12:54:52 UTC",59.9811,-153.4729,2.3,120.70,12,"Southern Alaska"
us,c000247a,7,"Wednesday, March 16, 2011 12:48:37 UTC",37.3407,142.5642,4.9,26.40,50,"off the east coast of Honshu, Japan"
us,c0002477,6,"Wednesday, March 16, 2011 12:45:22 UTC",36.3997,142.8874,4.8,24.90,84,"off the east coast of Honshu, Japan"
uu,03161239,2,"Wednesday, March 16, 2011 12:39:01 UTC",39.0018,-111.3712,1.8,7.70,13,"Utah"
